cluster,CLM_NBR,CLM_LOSS_DESC
2,15-00998341,Gym floor is damaged from water
2,19-00858597,Washing machine pipe leaked and burst on the second floor. Causing water damage to comon areas
2,15-00989923,Water was not draining properly and was pouring into the building. Damage to at least 5 rooms.
3,19-00649392,Coronavirus - Loss of Revenue due to Government shutdown
2,19-00898499,Urinal on the 7th floor bathroom had the automatic flush lock open and water gushed out per building. Insureds unit has sever water damage and desks and other furniture. Per lease insured is responsible for their own property
0,15-00890091,"BURGLARY, EYEGLASS FRAMES TAKEN"
4,19-00407639,Bus struck air compressor building-temp repairs done
2,85-00314592,"Water pipes froze and burst in at least one unit of building #1. Tenant is New England Investment. At request of insured, Insurcomm of Portsmouth,
NH has been contact for the mitigation work. Their number is 603-430-7701. PLEASE CONTACT THE INSURED'S PROPERTY MANAGER, MIKE
COLLINS, AS SOON AS POSSIBLE."
2,19-00621313,wind blew door off casing and damaged bldg. photos and copy of the bill from Northeastern Window and Door is attached
1,19-00413023,Delivery trunk was delivering a shipment and crashed into insured_s fence
2,85-00335393,Sidwalk was lifting and needed to be replaced
2,19-00903187,Unit owner reported extensive mold damage in her bathroom. Prop Mgr wants the point of contact to be the unit owner who is also the condo president. Tracey Kunkin 201-240-6780
2,19-00360916,"Resident on the 3rd floor drilled a hole into the emergency sprinkler pipe while attempting to Hang a TV in a stud in the wall. The water leaked in Gallons per second into the residents 3rd Floor bedroom, living room; the additional 2nd floor resident bellow_s bedroom and then down into the Club house on the 1st floor. The Fire Dept. was called to come out and shut off the water. Water Consistently ran for 40 minutes"
1,19-00140392,"Prop was vandalized sometime between 1/6/2018 and 1/13/18, which is when Insd became aware. Copper electrical wiring was stolen from electrical conduit that runs up on the roof. Estimated Damage: $8,700.00. See attached repair estimate and photos. Electrical at the building is not working and the occupants need to get it back up and running immediately. Main Insd contact: Maggie Alvarado, MaggieA@mjcres.com Also copy Andreat@mjcres.com and LaurenA@mjcres.com on all correspondence."
0,85-00092682,"Unknowns broke a window to the insured's location and stole 4 Dell laptops, and a Pelvic Floor Ultrasound device. Please see attached invoice. Laptops are password protected and have been remotely disabled by their IT vendor. Approx $6K for the laptops and $7k for the ultrasound device."
2,19-00716703,Water damage
0,19-00588595,A microscope got damaged when it fell off the wall
0,19-00706153,Insured is a dealership and does transfers from other dealerships. A dealership in New York was expecting a car from insured but they never received car from insured. Insured already received and processed payment.
0,19-00820412,"unknown person/s broke in to insd business - products, garbage cans stolen."
3,19-00660143,"Due to COVID-19, State of Maine mandated the insured business to close- hair salon. Loss to Business Income claim"
2,19-00867931,A pipe burst that leads to the AC unit in the attic causing water damages to the attic and the banquet hall-Flooring is hard wood-unknown if there is property damages
0,19-00767911,"Ex-employee of Eleganza Titles, Inc embezzled close to 400,000.00 from January to September 2020. Employee without management approval, consent and knowledge applied write-offs, missed applications, wrong accounts reconciliations and stole cash from several customers accounts."
2,85-00223142,PROP: Ceiling damage at insured location
0,19-00395539,Unknown persons broke into the building and stole the safe and $1400 cash
2,19-00143656,"Insured discovered mold issues in the building. Mold was discovered in the building in the building November 2017. Location : 522 South Lexington Ave, Burlington. Please see attached."
1,85-00310528,"Insured came into business one morning and discovered that her computer screen was black. The cause of damage to the computer is unknown- the
computer had to be replaced."
0,19-00519245,SOMEONE THREW A ROCK AND BROKE THE FRONT GLASS WINDOW
0,85-00310932,"A EMPLOYEE WAS WORKING REMOTELY, AND WAS HAVING DIFFICULTLY VIRTUALLY ACCESSING THEIR SYSTEMS. NOTIFIED THE OFFICE. AFTER INVESTIGATION REALIZED THAT THE OFFICE HAD BEEN BROKEN INTO."
0,85-00044612,"insured discovered that he had a check dated 10/15/21 that was mailed to a vendor for $12,082.03. Apparently the vendor never got it and someone changed the name on the check and cashed it at their bank. Then they wrote four more checks that were forged/photocopied/or something. checks that cleared the insured's bank totaling $69,005.22. One of the checks for $19K wasn't even signed"
2,19-00868264,The neighbors tree fell onto the funeral homes garage and put a hole in the roof and damaged the fence. The tree had leaves but also looks rotted
4,85-00306397,"*REKEYED FROM OLD CLM# 85-00279714*
Power surge damaged equipment."
0,19-00100599,INSURED NOTICED LAPTOPS WERE STOLEN FROM THE BUSINESS.
2,85-00340591,PLEASE ASSIGN TO HANNAH HEINRICH per insured's request. Water back up from break in sewer line.
0,19-00305766,Two males came into the studio and distracted the front desk employee and stole her cell phone. Police report was filed.
4,15-00820997,Insured advised that the freezer compressor blew and all food was spoiled/damaged.
2,19-00537343,WEATHER EVENT- TORRENTIAL RAIN RESULTED IN BACKUP OF SEWAGE/ STORM WATER IN BASEMENT OF BUSINESS. MITIGATION SERVICE WAS DISPATCHED. JARVIS PROPERTY RESTORATION HANDLED MITIGATION AND RESTORATION OF PROPERTY. CLIENT HAS ALL BILLS AND DETAILED INVOICE OF SERVICES RENDERED. JARVIS CONTACT INFO  586-954-4700. TOTAL BILL FOR SERVICE IS APPROXIMATELY 9142. LOSS OF ITEMS AVAILABLE UPON REQUEST.
0,19-00790981,"Cash stolen from insured, $1,697.78. Insured has a police report"
0,19-00462112,While grooming the scissors cut the dogs ear resulting in a $537.52 vet bill and a unknown expense for a follow up vet visit.
0,19-00255696,"Insured employee embezzled monies from misc, accounts of insured. Insured has filed police charges against employee. See attached email from insured with claim details."
2,19-00321251,Strong winds have damaged the insured_s roof exposing some roof areas to the elements. Also minor water damage to the interior. The insured_s will proceed forward with temporary repairs.
2,19-00214510,Insured had a leak and it caused water damage
2,85-00243636,"Water pipe burst andd water come through ceiling, damage to insured's personal property, including lighting, etc. Insd will provide list of damage items and
copy of their lease agreement to adjuster. . The insured rents the space. The Property Manager said the inusred is responsible for the piping. Repairs have
been made by plumber and the invoice is attached. The isured is concerned about the water that got inside the walls."
1,19-00769129,BROKEN EXTERNAL LIGHTS ON BUILDING
2,19-00599084,"Water damage to ceiling tile, causing tiles to fall at Comerica Bank due to water coming from the second floor bathroom.."
0,19-00184258,"Insured received demand letter alleging caregiver theft in the amount of $95,000 (Theft of Client_sProperty)."
3,19-00652216,CORONAVIRUS. Loss of business.
4,85-00212809,Insured sustained power surge which caused damage to equipment. Insured advised surge took place between 07/30 - 07/31.
3,19-00650050,CORONAVIRUS  Insured filing loss of income claim due to COVID19 closure.
0,19-00618386,dog day care;  dog attacked by other dog.  (ear being removed)
2,19-00379752,FIRE SUPPRESSION LINE BROKE- WATER DAMAGE COMING FROM THE CEILING AND ALL OF THE INSULATION/TILE WAS SOAKED CAUSING IT TO COLLAPSE ONTO THE FLOOR. WATER IS ABOUT 2 INCHES AT A MINIMUM AND SPREAD BEYOND THE OFFICE SPACE. PERSONAL OFFICEDAMAGE EXTENT UNKNOWN.
0,19-00216303,Exhibition Counselor General bumped a piece of art on the wall  and a piece broke off.
1,19-00065777,VEHICLE DROVE INTO A SIGN DETACHED STRUCTURE
2,15-00887084,"Insured ins in Flordia returning on Wed but tenant let her know that upstairs toilet let go and there iswater damage to upstairs carpets, down through the ceilings downstairs. Insured is going to call Servpro to get them in to start drying things out, Insured can be reached at 207-266-9205"
4,19-00714254,"Temperature on refrigerator did not stay consistent, lost vaccinations. Refrigerator has a recorder and showed temp above required limit of vaccinations."
4,85-00003921,Loss of vaccination inventory due to power failure
0,19-00617352,**REKEYED FROM OLD CLM # 19-00591835Insured discovered 2 employees have been stealing and it_s around approximately $20K. This has been reported to the police.
0,19-00352624,DOOR GLASS TO INSURED 2007 VOLVO LOADER WAS DAMAGED. UNSURE OF HOW IT HAPPENED
1,85-00054253,"This is the information from our Facilities Director about the parking lot lights that were damaged in the storm on September 14th: $3120.03 - 9 service drive fixtures damaged x 346.67 per quoted cost $14,408.46 - 19 interior parking lot fixtures damaged x 758.34 per quoted cost. $15K to 17K - Electrician to install (my guess). Can get quote when needed. Please let me know, if there is other information that you need.
Betty Bartek
Accounting Specialist"
4,19-00136541,Equipment broke down.
2,19-00819445,WATER DAMAGE TO PROPERTY.
0,85-00008417,Break In
2,85-00003870,Equipment breakdown loss. Hot water heater cracked and has to be replaced
0,19-00019811,"$40k worth of phones were shipped to Employee Khao Cates, our Sales person, (agent of ROK Mobile) . Hestored them at this house. His house was burglarized between 1/11/17- 01/14/17 and all the phones were stolen. He filed a police report on 1/14/17"
2,85-00424236,HVAC unit leak resulted in water leaking into neighboring tenants spaces causing damage to interior fixtures.
3,19-00662233,Business Interruption due to the coronavirus
2,19-00902997,Water damage to our pump room and some flooring as well as vacuum system for our pumps
2,85-00279874,Water Main Break.
0,19-00808634,"Trailer with equipment owned by employee was stolen.Ditchwitch SX100, vibrating plow 4DW154 stolen"
0,19-00864249,Report onlyTwo windows broken out at insured location
2,19-00531282,**Report Purposes Only**Neighbors tree fell on insured_s property and damaged sky lights
4,19-00055300,"Equipment breakdown, the computer and Phone systems went down, they don_t know what happened."
2,19-00706548,"Water from heavy rains in months previous was coming through the cement floor and wall undetected. The water has caused mildew and mold under vinyl floor and in the walls. It ruined the floor, and inspectors are requiring we tear down the sheetrock to get rid of mold. Looks like about $7,500 for parts and outside contractor. We are doing much of the repairs ourselves"
2,19-00891830,Hail damage to insured property.
4,19-00561476,elec co turned off electricity due to fires in CA.  loss of biz / frozen food perished/ fish died.  retail pet supply
0,85-00179616,Payroll went out on 06/10 and office manager received an email from an employee advising bank account info changed. Office manager re routed the $2500 paycheck to new account and come to find out it was a scam and insured is out the $2500.
0,19-00236558,Door bent in burglary
0,85-00030692,INSURED PAID 7500 FOR INVESTIGATION AND PAID 140000 TO SET UP MONITORING .REPORT ONLY. CONTACT INSURED KEITH BUOHL 617-589-3885.
2,19-00613831,Chiller pipe burst above INSD office space causing water damage
2,19-00573736,"Food was being served in the Chapel Foyer. Kitchen staff dropped a lit sterno, burning carpet, woodwork and mural on the wall"
3,19-00654507,Business interruption Office operations closed per CSDA and Department of Public Health until further notice (2-3 months) Economic loss
0,19-00800109,"BUSINESS VANDALIZED. WINDOW, OFFICE CHAIR, AND BLINDS BROKEN"
0,19-00139366,wire fraud /  funds takenFBI on this as well
4,19-00259538,"During the storm last Tuesday insured_s phone system got blow out due to lightning. They need to replace the system which CostS $36,000"
1,19-00695436,Vehicle crashed into premises
1,19-00342130,Front gate was hit by unknown vehicle - insured thinks it was a tractor trailer.
0,19-00680408,"IV was broken into. The water heater plumbing was cut and the unit stolen, the drain pipe for the drink bin was removed, the camera on the left side of the building was broken/vandalized, the door was forced open/broken, the awning was bent/damaged, and there is now a crack on the right hand side of the windshield. The lining on the driver_s is damaged too."
4,85-00415099,Insureds cooler broke and insured lost a large amount food. staff took pictures
0,85-00125349,"Store was broken into, broke lock to main door. 18 boxes drill bits (1 box 50 pc) 4 box Tornado drill bits. 260 size 5-18 acrylic brushes. 250- French manicure brushes. 1,900- acrylic sanding bands. 2 box of collection pedicure packages. 400 packs of fake nail tips."
4,19-00430278,Food spoilage
2,19-00083047,"water damage caused to 20 dorm rooms due to vandalism in the  bathroom. Toilet fixed to overflow, sinks plugged and water  left running, shower running and drains plugged contact Belinda to set appt 3027362484"
3,19-00663830,Coronavirus: Loss of business income due to government shut down
2,19-00686139,Sprinkler line leak. Please see attached incident report.
1,19-00706743,"Drunk driver hit a vehicle and then drove into the insured_s building at 33050 Antelope Rd., Murrietta, CA. See attached e-mail with news article and photos. See remarks."
0,19-00031126,(Vandalism) Insured_s glass doors to main and second unit were smashed in. Does not appear any further access gained to units or anything missing.
4,85-00285410,Power flickered on and off several times and damaged gas pump circuit
3,19-00644963,CORONAVIRUS   Business loss due to mandated store closures
0,85-00038291,"Wires cut on outdoor AC unit, wires were stolen"
2,85-00144809,"Insured reports: We had a main water line break in in a neighboring office space. It flooded part of our main office and our server room. We need to open an insurance claim Ive copied Kim B. in, who is our office manager. Between the two of us, we should be able to get you any info you need. Amanda will also handle gathering any specific info for you. Magnolia Madsen should be your priority contact @ 800-531-1925"
0,19-00839483,"Email contact s page was routing to email at add agency that created the web-site but no longer admins the site, got lock out of permissions, hackers over loading data base with log files, making the site unusable. had to buy more storage to re-set permissions."
3,19-00680170,CORONAVIRUS The insured wants to open a claim for business interruption due to the stay at home order.
2,19-00115004,Water is coming up through flooring into condo unit #70; flooring is buckling and is wet. Water supply line leading into unit may have burst.
0,19-00867578,THE INSURED WAS HACKED.
3,19-00650481,CORONAVIRUS- Insured had to close down because of COVID-19.
2,19-00810934,Steam leak in Doyle Hall.  Technology Services is in the process of making repairs to IT equipment that was damaged by a steam leak in Doyle Hall early this morning
2,19-00880685,"Between 6/13-6/14 domestic water pipe burst where it enters building causing water damage inside building and sink hole damage to parking lot-7500-10,000 damages"
0,19-00005776,"Employee dishonesty - Employee embezzled funds from insured: total loss $80,000"
0,19-00505960,"Lawsuit. Claimant, as personal representative of the estate, alleges from 6/16/16-5/23/18, one of insured_s employees, took $118,760.00 from patient he was providing care to."
0,85-00342600,It was discovered on 3/20/2023 that one employee(manager) has been stealing from the business for a few years by charging credit card sales to a Square device which she had purchased under her name and thru which funds were transferred to her own bank account.
1,85-00294276,"BLIZZARD: Insured sustained damage to their equipment during operations in removing snow.
When you look at the photo, the side should be straight down and not bent or curved. Our employee operating the loader was Nick Cole. We have to get this fixed. So we are looking for some kind of coverage. There was a lot of snow to be removed and resulted in this damage. 
1998 Daewoo serial number 1001 NY license plate number 47752-SC. 
Insd also sustained costs to hire outside contractors to take over while this machine was down.
Please cc agent/Walsh Duffield cderenda@walshduffield.com
There was other equipment damaged at the same time from this storm but does not appear to be a high dollar amount."
0,19-00639172,Reporting Under Personal Effects and Property of Others Extension. Staff Member_s vehicle was in school lot when unknown stole the vehicle_s catalytic convertor and damaged other parts of the vehicle during the theft
0,19-00227124,"Through a computer fraud the insured wired $25,000 to fraudulent account. May also be a case of employee theft"
1,19-00079452,"vehicle ran through chain link fence, across playground and into the SE corner of school causing significant damage to exterior and interior of Kindergarten room"
4,19-00293282,Insured contact advised per storm caused power surge and lightening strike he had severel office equipments and electronics that have been severly affected
3,19-00650007,"CORONAVIRUS  We Have a New Business Interruption Claim for Insured  - OB3-D389613-02, DOL 3/18/20, Business Interruption due to COVID-19"
0,15-00969166,Insured received fraudulent purchase order for existing client and shipped computer equipment to site.
4,85-00383204,"Insured suffered an off premises power outage and when the power was restored a serge blow out some recessed ceiling lights and damaged some
equipment."
2,19-00750808,"Wind blew several trees down. One on insured building @346 N. Main St., Lanse and neighbors home. No known injuries. Power line is also down."
2,19-00882993,Pipe burst in one of the dormitories rooms that has caused extensive water damage from the 3rd floor to the Terrence/basement floor of the oldest building. ServePro was onsite last night along with maintenance staff to start the drying-out process
2,19-00564567,"Stagecoach, Galesburg location-sewer and water backup occurred. Servpro has been contacted and will be giving an estimate on damages"
2,15-00883602,"Fire in detached garage. Caused damage to tools. Possibly around 10,000. Possible cause is from wood stove"
2,19-00206190,Ice machine leaked and caused water and mold damage to floor and crawl space.
2,15-00723560,"Fire loss - please contact Kevin Li at 626-905-3880, email: kevinlicpa@yahoo.com"
2,19-00730403,"Damage to individual unit within community due to failed pipe causing water damage to walls, repair requires access through slab. The individual unitowner policy will not pay their insured_s claim as they state that it is not clear who is responsible. They have asked HOA to report the claim to their carrier for evaluation"
0,15-00794849,Insured_s property was burglarized. D/L 6/26/16
2,15-00829867,"Water leak caused damage to insured_s building, including ceiling and sheetrock. Leak caused by hole in pipe; Water has since been shut off."
0,19-00867760,"staffs vehicle was parked in parking lot, one of the clients became angry, physically attacked her and then went awoled outside his cottage, he immediately began picking up large rocks and throwing them at staffs vehicle, chipping paint, denting hood and breaking headlamp"
0,19-00613736,"**Guest Damage**, Insured reports that on the day of loss a guest, or friend of a guest, who was intoxicated, caused substantial damage to an elevator door, 2 light sconces and multiple vases."
2,19-00087256,DOL 10/30/2017Insured hass sustained loss of business income due to a ruptured gas line.
3,19-00652050,Insured had to close all locations due to the COVID-19 virus.
2,19-00156224,"damage discovered morning of 2-9-18 by insured. Pipe in wall on middle floor sprung a leak and causedwater damage before they could get it repaired. Sheetrocking and carpeting damage middle and firstfloors....plumber was called on 2-9-18....insured was calling Puroclean. NOTE: This was originallyreported to you under the tenants policy (Hudson VAlley Foot Associates-you set it up underclaim#19-00153971. The insured realized once the adjuster started asking questions, that he reported itunder the wrong policy)"
2,19-00709126,"Our center located at 280 Solana Road, Ponte Vedra Beach, FL 32082 had water enter from the Zimmiz Hair Designers Salon (DonnaZimmerman is the owner) 282 Solana Rd, Ponte Vedra Beach, FL 32082 next door to us that had a pipe burst between Thursday, July2 at 11PM (when Donna said she was in her salon until) and the morning of Friday, July 3. The water seemed to enter under ourshared wall. Although the walls should be inspected if there is water higher up between our businesses. If you need to reach Donna Zimmermans salon their number is (904) 285-0503Servepro who was working on Donnas hair salon took down all our insurance information and put multiple fans in our unit fromFri, July 3  Mon, July 6. They also removed our base boards on only the shared wall with Zimmiz Hair Salon. It was Kumons understanding that Zimmiz insurance with Servepro was going to handle the repairs in our unit also. We now have received a call from Donnas insurance saying because it was not negligence on their part we have to contact ourinsurance agency to handle removing and replacing the drywall that became wet. Our center is beginning to smell very musty andmoldy even with keeping the A/C low and an air purifier in the room.Thank you in advance for your prompt assistance in helping us navigate this quickly so our Kumon students, staff and center are notnegatively impacted by the water damage."
3,19-00654842,Coronavirus  loss of business income due to government shut down
1,19-00299259,Insured accidentally dropped his Itero wand that is used to take digital impressions for crowns and digital scans. Value 5786.00
1,19-00703289,An employee started closing one of the bay garage doors before a trailer had completely departed the bay area. The trailer collided into the garage door. The employee who was closing the bay garage door was did not realize the trailer had not cleared the opening
0,15-00922677,unknown broke into insured_s building causing damage to building and some items stolen.
0,19-00115464,Keys stolen from insured and locks have to be rekeyed. See attached invoice and police report.
0,19-00709447,"The enclosed utility trailer was set on fire by an unknown source. The trailer had $15,000 worth of equipment inside."
3,19-00662324,Coronavirus: loss of business income all locations are affected
0,85-00311435,We arrived at school on 1/23/23 to find our Red Ford Truck had been broken into and tools had been stolen.
3,19-00666382,Business Interruption / Loss of Income claim due to COVID-19 outbreak. Copy of reporting letter from insured to be emailed with acord at time of reporting.
3,19-00678256,CoronavirusBusiness income loss
4,19-00521091,"Power surge had affected computers, power outlets were smoking as well."
2,33-00039313,FIRE- FIRE INVESTIGATOR WOULD LIKE TO MEET W/ADJUSTER ASAP. FIRE INVESTIGATOR IS JAMES F. BARBER @ALBEMARLE DEPT OF FIRE and RESCUE 434-296-5833.
2,85-00077905,REALTOR DISCOVERED WATER DAMAGE DUE TO FROZEN PIPES WHEN SHOWING THE VACANT PROPERTY NO INJURY
0,19-00524527,"Burglary- broken window, stolen eyeglass frames and cash"
1,19-00605773,"Insured has a vendor do some work on a particular item. The item is typically comprised of steel, however the insured shipped the wrong item is comprised of carbon. Vendor assumed the part was steel as that is what the insured indicated. The carbon ended up ruining the vendor_s equipment and causing numerous damages. Insured however is looking for the costs associated with shipping the wrong part as it is now inoperable."
0,85-00217706,THEFT OF SMALL COMMERCIAL TOOLS and EQUIPMENT
3,19-00654495,CORONAVIRUS - Business interruption due to COVID-19
2,15-00928640,A vandal tried to break into the garage on the property and that led to water seals being damaged and water entering the garage. See photos and estimate. Reason for late report as insured was trying to obtain estimates and a lot of contractors refused to come and give an estimate as they felt the job was too small for them.
2,19-00666868,"Water damage- see email attached from property management along with estimates, photos and lab results"
2,19-00039717,"Long crack noticed in the floor of the building. Email is best for Lynn McCrary, call first, but know she might correspond best by email."
0,19-00504750,"The business was hacked by a hacker and all the back up systems where hacked and deleted50,000 was stolen."
2,85-00350467,Flooding on ground flood. Appears to be due to the shut off to the house being disconnected.  Residents had to be relocated to a hotel. Agent asks for escalated contact.
4,19-00862174,A patient bit through x-ray sensor. Unable to repair
2,19-00232653,CONDO WENT UP IN A BLAZE CAUSE ELECTRICAL
0,15-00924522,"A store burglary took place around 3am on 2/16/17. Equipment was damaged, a safe was stolen, and the store had to close down."
2,85-00125797,Water leak in residents waste line
4,15-00863836,**REKEYED FROM OLD CLM#15-00851884**Phone system struck by lighting
2,19-00751983,"INSD went into business on the morning of 9/30 and found the roof had leaked substantial amount of water into the business. INSD only able to operate part of the business. Ceiling still dripping and rain predicted for the rest of the week, INSD not sure they will be able to operate when it rains."
0,19-00490993,Insured was notified by their vendor of a fraudulent transaction
2,19-00307945,Wood floors buckling in main waiting area from water damage
2,15-00978278,Water damage to ceiling and walls of 2 penthouse units from leaky roof when it rains. 2 estimates attached
1,19-00034502,Outside vehicle crashed onto insured property - will collect from other party - reporting for record purposes only
0,78-00249778,11 WINDOWS BROKEN OUT OF THE BUSINESS
3,19-00655985,CORONAVIRUS  Insured has lost income due to being shut down due to Corona virus
0,15-00713533,"Claimant Pamela Zagame brought her dog in for an exam and he came flying out of kennel which was a second story kennel and he jumped to the floor and broke his leg.
Dogs name: Wrigley"
0,85-00000600,"At around 0230 am the morning of September 19th, 2021 an individual that has not been identified, attempted to brake into our store. Video surveillance shows him trying time and time again to break through, but the glass never completely broke thanks to the commercial security film installed by Enhanced Glass Window Film. The glass and commercial security film needs to be replaced immediately in order to maintain security and safety to our staff and store. A police report has been filed the University Place Police Department (UPPD), case number 21-262-00669."
2,19-00228555,"Aug 29th northern Johnson county was hit at 1:00A.M the main sanctuary and additionally the community center had leaks, although we are not sure they are storm related. Free roof inspection which was based on our company doing roofs in the general area. From the ground we observed damage to the metal canopy which indicated a roof inspection was necessary."
0,15-00908423,Ashville store was broken into. damage to door/locks.Customer property stolen as well
0,85-00019619,"Cyber claim, email was hacked which caused ACH payts to be redirected to fraudulent account at Allied bank, INSD has been working with police to see if it can be recovered"
0,19-00273167,There were 6 fraudulent checks that were cashed against our account. The checks were created and deposited/ cashed with a different institution that was not our own. The check look exactly like our checks however the signature on the checks do not match our signers signature. The serial/check numbers used are still in our possession and they have not been used. We notified our bank as soon as we found out on 8/9/18. The bank is waiting for the receiving bank to see if they will return our money
0,19-00240013,3 windows and 1 glass door broken
2,19-00252580,"Severe thunderstorm caused water to leak in one corner of the bldg. resulting in damage to ceiling tiles, carpet, window ledges. Insured isobtaining estimates."
2,15-00911662,"water tank from 4th floor broke and flooded the office space damaging carpets, some walls and personalproperty"
4,19-00466748,CYBER ATTACKED WITH VIRUS THAT EFFECTED SERVER AND 3 TOWERS
3,19-00730781,Coronavirus loss of business income
4,19-00071869,Drugs were destroyed due to not being in refrigeration
2,15-00922966,AGENT WAS ADVISED BUILDING COLLAPSED
1,15-00883288,Building tenant (warehouse manager) reports to work at 5:45AM and finds the fence that has beendamaged. Looks to have been damaged by a car collision after hours. Please see pictures.
0,85-00080417,Insured trailer stolen-THIS CLAIM IS FOR CONTENTS
2,15-00911717,"Steam pipe broke in basement, tile floor is cracked due to work."
1,19-00520020,"Angel Medina, driver for JMJ Express LLC struck our insureds light pole in the parking lot of Port Richmond Shopping Center 3301 Aramingo Ave Phila PA."
0,85-00055623,Employee (Mary Ross) stole checks and also deleted patient payment records. Employee was let go back in September. Employee was with insd for 10 years and  insd thinks employee has been doing this since day they were first hired
0,19-00107645,"The insured has experienced a theft loss, on 11/23/17. Attached are an outline of missing items and below are the police report details. Further, the insured has provided current security measures for file. Please provide acknowledgement and claim number as soon as possible"
4,15-00986008,Equipment breakdown of their compressor.
2,19-00175062,Hail damage to roof.
0,19-00344573,"(2) windows cracked and (2) windows vandalized by scratching initials into them. Happened at 2 locations 10818 and 10822 N Scottsdale Rd., Scottsdale Az."
2,19-00859020,Unit#50 water heater let go- serve pro was called.
3,19-00647639,CORONAVIRUS    INSD is closed due to COVID-19 prevention by government order
1,19-00297889,VEHICLE HIT THE BUILDING
4,19-00226116,Lightning struck close to the building blowing out a compressor to one of the air conditioning units
3,19-00653342,CoronavirusBUSINESS SHUTDOWN BY GOVERNMENT DUE TO CORONAVIRUS.
2,19-00721879,Insured is a business thinks there is a crack in the ceiling and water from the rain is getting in causing water damage.
2,15-00919923,Upstairs tenant moved out. Extensive damage caused by tenant
0,19-00092766,BULLET HOLES IN 2 WINDOWS AND A WALL IN HOUSE SCHOOL OWNS.
0,19-00927718,Upon coming into the office Fernando noticed broken glass. Someone had thrown a rock through his offices window beaking it.
0,19-00804628,Property lost during shipment via fex EX - 1 pair of shoes for customer Michelle Casazza
3,19-00678687,CORONAVIRUS loss of income w locations
0,85-00114948,"Possible Crime Claim. A member of the HR team received a fraudulent email from what she thought was one of our physicians requesting to change payroll direct deposit resulting in the the physician not 
receiving any payroll/salary since January 14th. Cyber police on notice as well. Contact insured for additional information"
3,19-00642492,"Due to the Coronavirus, insured was forced to close down her business sustaining loss of business income"
3,19-00702771,Loss of business income due to covid
3,19-00650114,CORONAVIRUS- Business Interruption Claim.
2,15-00720522,"Unit #7 the toilet was leaking on 1/26/2016 and no one home for a couple of days so water went downstaris and infected unit #6, 8 and 9"
2,19-00581453,WATER PIPE LEAKED THROUGH OUT THE BUILDING
2,19-00912981,"Storm damage to roof with an to be determined date of loss. Need to have an adjuster inspect roof to determine extent of damage. Building location: 2801 Tower Rd, Aurora, Co 80011 (location 2 on the policy). Sean_s extension is 107"
0,19-00075093,file cabinets were broken into and petty cash was stolen
0,85-00143050,Theft of CO2 Laser
2,19-00270678,Janitorial cleaner was left on resulting in flooding to hallway and some offices
2,85-00179311,Water damage to building
2,19-00149127,The Windstorm on 12/29/17 damage the scale on their silo.
4,15-00863532,Explosion noise was heard and the HVAC system is inoperable.
2,19-00633151,"WATER PIPE BURST AND FLOODED PROPERTY, NEXT DOOR FLOODING, WALLS DAMAGED, POSSIBLE MOLD"
